codigo;nome;tema_revisao;codex_gpt5;deepseek_v3;gemini_3_1_pro;gpt_5_5_thinking;grok_xai;n_modelos_superior;n_modelos_nao_superior;sugestao_por_maioria;nivel_superior_final;observacao_orientador;peso_total;n_total;peso_superior;n_superior;pct_superior_na_ocupacao_2025_t4;voto_ponderado_ia;sugestao_ia_ponderada;sugestao_empirica_2025_t4;sugestao_hibrida;flag_revisao;dist_05
2643;Tradutores, intérpretes e linguistas;cultura, comunicacao e linguagens;1;1;0;0;0;2;3;0;;;18194.6059313;45;9636.05981799;25;52.9611;0.444444444444444;0;NA;0;OK_AUTO;0.0555555555555556
1112;Dirigentes superiores da administração pública;dirigentes e gerentes;1;0;0;0;1;2;3;0;;;72224.23003465;198;44984.41528992;122;62.2844;0.333333333333333;0;NA;0;OK_AUTO;0.166666666666667
1120;Diretores gerais e gerentes gerais;dirigentes e gerentes;1;0;0;0;1;2;3;0;;;137621.68394953;244;74772.27719556;133;54.3318;0.333333333333333;0;NA;0;OK_AUTO;0.166666666666667
1211;Dirigentes financeiros;dirigentes e gerentes;1;0;0;0;1;2;3;0;;;118081.71674017;215;88630.84285442;155;75.0589;0.333333333333333;0;NA;0;OK_AUTO;0.166666666666667
1212;Dirigentes de recursos humanos;dirigentes e gerentes;1;0;0;0;1;2;3;0;;;161981.35848354;247;111879.93021612;183;69.0696;0.333333333333333;0;NA;0;OK_AUTO;0.166666666666667
1213;Dirigentes de políticas e planejamento;dirigentes e gerentes;1;0;0;0;1;2;3;0;;;23743.05390029;60;20282.47718578;53;85.4249;0.333333333333333;0;NA;0;OK_AUTO;0.166666666666667
1219;Dirigentes de administração e de serviços não classificados anteriormente;dirigentes e gerentes;1;0;0;0;1;2;3;0;;;604037.34884438;1123;404536.57662648;711;66.9721;0.333333333333333;0;NA;0;OK_AUTO;0.166666666666667
1221;Dirigentes de vendas e  comercialização;dirigentes e gerentes;1;0;0;0;1;2;3;0;;;377557.10417475;642;263863.67210616;425;69.8871;0.333333333333333;0;NA;0;OK_AUTO;0.166666666666667
1222;Dirigentes de publicidade e relações públicas;dirigentes e gerentes;1;0;0;0;1;2;3;0;;;18434.71348444;25;15244.56546617;20;82.6949;0.333333333333333;0;NA;0;OK_AUTO;0.166666666666667
1346;Gerentes de sucursais de bancos, de serviços financeiros e de seguros;dirigentes e gerentes;1;0;0;0;1;2;3;0;;;288692.90004465;479;251716.52826987;418;87.1918;0.333333333333333;0;NA;0;OK_AUTO;0.166666666666667
0110;Oficiais das forças armadas;oficiais militares/policiais/bombeiros;1;0;1;1;1;4;1;1;;;70639.99104169;147;53400.34181399;126;75.5951;0.777777777777778;1;NA;1;OK_AUTO;0.277777777777778
0411;Oficiais de polícia militar;oficiais militares/policiais/bombeiros;1;0;1;1;1;4;1;1;;;35434.89873228;85;32013.10682161;76;90.3434;0.777777777777778;1;NA;1;OK_AUTO;0.277777777777778
0511;Oficiais de bombeiro militar;oficiais militares/policiais/bombeiros;1;0;1;1;1;4;1;1;;;15778.72065893;40;13722.06780033;34;86.9657;0.777777777777778;1;NA;1;OK_AUTO;0.277777777777778
2166;Desenhistas gráficos e de multimídia;design, arquitetura e desenho;1;0;0;0;0;1;4;0;;;178657.83832492;310;94078.11878866;147;52.6583;0.222222222222222;0;NA;0;OK_AUTO;0.277777777777778
2356;Instrutores em tecnologias da informação;ensino;1;0;0;0;0;1;4;0;;;17037.77093525;41;6577.86247939;16;38.6075;0.222222222222222;0;NA;0;OK_AUTO;0.277777777777778
2413;Analistas financeiros;administracao, financas, comunicacao e vendas tecnicas;1;1;0;1;1;4;1;1;;;236910.66926264;313;236910.66926264;313;100;0.777777777777778;1;1;1;OK_AUTO;0.277777777777778
2421;Analistas de gestão e administração;administracao, financas, comunicacao e vendas tecnicas;1;1;0;1;1;4;1;1;;;555789.545641;906;555789.545641;906;100;0.777777777777778;1;1;1;OK_AUTO;0.277777777777778
2422;Especialistas em políticas de administração;administracao, financas, comunicacao e vendas tecnicas;1;1;0;1;1;4;1;1;;;3727.38654993;7;3727.38654993;7;100;0.777777777777778;1;1;1;OK_AUTO;0.277777777777778
2423;Especialistas em políticas e serviços de pessoal e afins;administracao, financas, comunicacao e vendas tecnicas;1;1;0;1;1;4;1;1;;;262492.15825307;429;206678.48665131;334;78.737;0.777777777777778;1;NA;1;OK_AUTO;0.277777777777778
2424;Especialistas em formação de pessoal;administracao, financas, comunicacao e vendas tecnicas;1;1;0;1;1;4;1;1;;;23230.01094316;33;18286.99808481;22;78.7214;0.777777777777778;1;NA;1;OK_AUTO;0.277777777777778
2511;Analistas de sistemas;tecnologia da informacao;1;1;0;1;1;4;1;1;;;434087.05270275;652;434087.05270275;652;100;0.777777777777778;1;1;1;OK_AUTO;0.277777777777778
2512;Desenvolvedores de programas e aplicativos (software);tecnologia da informacao;1;1;0;1;1;4;1;1;;;230921.99325491;340;230921.99325491;340;100;0.777777777777778;1;1;1;OK_AUTO;0.277777777777778
2513;Desenvolvedores de páginas de internet (web) e multimídia;tecnologia da informacao;1;1;0;1;1;4;1;1;;;13735.14694173;19;13735.14694173;19;100;0.777777777777778;1;1;1;OK_AUTO;0.277777777777778
2514;Programadores de aplicações;tecnologia da informacao;1;1;0;1;1;4;1;1;;;73395.75002824;130;73395.75002824;130;100;0.777777777777778;1;1;1;OK_AUTO;0.277777777777778
2519;Desenvolvedores e analistas de programas e aplicativos (software) e multimídia não classificados anteriormente;tecnologia da informacao;1;1;0;1;1;4;1;1;;;23903.78361771;39;23903.78361771;39;100;0.777777777777778;1;1;1;OK_AUTO;0.277777777777778
2521;Desenhistas e administradores de bases de dados;tecnologia da informacao;1;1;0;1;1;4;1;1;;;40766.22388376;59;40766.22388376;59;100;0.777777777777778;1;1;1;OK_AUTO;0.277777777777778
2522;Administradores de sistemas;tecnologia da informacao;1;1;0;1;1;4;1;1;;;27720.76411121;39;27720.76411121;39;100;0.777777777777778;1;1;1;OK_AUTO;0.277777777777778
2523;Profissionais em rede de computadores;tecnologia da informacao;1;1;0;1;1;4;1;1;;;10136.86733274;16;10136.86733274;16;100;0.777777777777778;1;1;1;OK_AUTO;0.277777777777778
2529;Especialistas em base de dados e em redes de computadores não classificados anteriormente;tecnologia da informacao;1;1;0;1;1;4;1;1;;;11004.87156281;21;11004.87156281;21;100;0.777777777777778;1;1;1;OK_AUTO;0.277777777777778
2641;Escritores;cultura, comunicacao e linguagens;0;1;0;0;0;1;4;0;;;42491.83566548;75;28233.95729128;51;66.4456;0.222222222222222;0;NA;0;OK_AUTO;0.277777777777778
2342;Professores do ensino pré-escolar;ensino;1;1;1;1;0;4;1;1;;;853334.88813166;1786;724306.09632851;1490;84.8795;0.888888888888889;1;NA;1;OK_AUTO;0.388888888888889
2359;Profissionais de ensino não classificados anteriormente;ensino;1;1;1;1;0;4;1;1;;;208073.10886102;463;90828.71457652;214;43.6523;0.888888888888889;1;NA;1;OK_AUTO;0.388888888888889
2432;Profissionais de relações públicas;administracao, financas, comunicacao e vendas tecnicas;1;1;1;1;0;4;1;1;;;38758.25360054;77;27018.6077266;54;69.7106;0.888888888888889;1;NA;1;OK_AUTO;0.388888888888889
2622;Bibliotecários, documentaristas e afins;outros casos ambiguos;1;1;1;1;0;4;1;1;;;23058.22484359;54;18012.52455164;43;78.1176;0.888888888888889;1;NA;1;OK_AUTO;0.388888888888889
1111;Legisladores;dirigentes e gerentes;0;0;0;0;1;1;4;0;;;58139.09891248;137;27077.14030749;54;46.573;0.111111111111111;0;NA;0;OK_AUTO;0.388888888888889
1114;Dirigentes de organizações que apresentam um interesse especial;dirigentes e gerentes;0;0;0;0;1;1;4;0;;;15056.70475556;41;8753.57590905;20;58.1374;0.111111111111111;0;NA;0;OK_AUTO;0.388888888888889
1311;Dirigentes de produção agropecuária e silvicultura;dirigentes e gerentes;0;0;0;0;1;1;4;0;;;57619.56493589;247;20493.3654371;59;35.5667;0.111111111111111;0;NA;0;OK_AUTO;0.388888888888889
1312;Dirigentes de produção da aquicultura e pesca;dirigentes e gerentes;0;0;0;0;1;1;4;0;;;1906.2913582;8;953.11753829;3;49.9985;0.111111111111111;0;NA;0;OK_AUTO;0.388888888888889
1321;Dirigentes de indústria de transformação;dirigentes e gerentes;0;0;0;0;1;1;4;0;;;239765.99400959;421;101102.46134971;176;42.1671;0.111111111111111;0;NA;0;OK_AUTO;0.388888888888889
1322;Dirigentes de explorações de mineração;dirigentes e gerentes;0;0;0;0;1;1;4;0;;;5574.94906323;14;2678.88434463;7;48.0522;0.111111111111111;0;NA;0;OK_AUTO;0.388888888888889
1323;Dirigentes de empresas de construção;dirigentes e gerentes;0;0;0;0;1;1;4;0;;;60940.4548163;127;34667.7667066;66;56.8879;0.111111111111111;0;NA;0;OK_AUTO;0.388888888888889
1324;Dirigentes de empresas de abastecimento, distribuição e afins;dirigentes e gerentes;0;0;0;0;1;1;4;0;;;104747.16975132;190;52949.18021361;84;50.5495;0.111111111111111;0;NA;0;OK_AUTO;0.388888888888889
3153;Pilotos de aviação e afins;aviacao e trafego aereo;0;0;0;0;1;1;4;0;;;19317.75630166;37;13397.97754218;20;69.3558;0.111111111111111;0;NA;0;OK_AUTO;0.388888888888889
3154;Controladores de tráfego aéreo;aviacao e trafego aereo;0;0;0;0;1;1;4;0;;;2302.53354436;8;1225.51543128;5;53.2247;0.111111111111111;0;NA;0;OK_AUTO;0.388888888888889
2230;Profissionais da medicina tradicional e alternativa;saude;0;1;0;0;1;2;3;0;;;941.14240221;4;941.14240221;4;100;0.333333333333333;0;1;NA;REVISAR_COM_ORIENTADOR;0.166666666666667
2163;Desenhistas de produtos e  vestuário;design, arquitetura e desenho;1;0;0;0;0;1;4;0;;;39846.1478263;56;39846.1478263;56;100;0.222222222222222;0;1;NA;REVISAR_COM_ORIENTADOR;0.277777777777778
2240;Paramédicos;saude;0;1;0;0;0;1;4;0;;;455.94739357;1;455.94739357;1;100;0.222222222222222;0;1;NA;REVISAR_COM_ORIENTADOR;0.277777777777778
