codigo;nome;codex_gpt5;deepseek_v3;gemini_3_1_pro;gpt_5_5_thinking;grok_xai;n_modelos_superior;n_modelos_nao_superior;consenso_maioria;concordancia_unanime;padrao_votos
1411;Gerentes de hotéis;0;0;0;0;0;0;5;0;1;00000
1412;Gerentes de restaurantes;0;0;0;0;0;0;5;0;1;00000
1420;Gerentes de comércios atacadistas e varejistas;0;0;0;0;0;0;5;0;1;00000
1431;Gerentes de centros esportivos,  de diversão e culturais;0;0;0;0;0;0;5;0;1;00000
1439;Gerentes de serviços não classificados anteriormente;0;0;0;0;0;0;5;0;1;00000
2111;Físicos e astrônomos;1;1;1;1;1;5;0;1;1;11111
2112;Meteorologistas;1;1;1;1;1;5;0;1;1;11111
2113;Químicos;1;1;1;1;1;5;0;1;1;11111
2114;Geólogos e geofísicos;1;1;1;1;1;5;0;1;1;11111
2120;Matemáticos, atuários e estatísticos;1;1;1;1;1;5;0;1;1;11111
2131;Biólogos, botânicos, zoólogos e afins;1;1;1;1;1;5;0;1;1;11111
2132;Agrônomos e afins;1;1;1;1;1;5;0;1;1;11111
2133;Profissionais da proteção do meio ambiente;1;1;1;1;1;5;0;1;1;11111
2141;Engenheiros industriais e de produção;1;1;1;1;1;5;0;1;1;11111
2142;Engenheiros civis;1;1;1;1;1;5;0;1;1;11111
2143;Engenheiros de meio ambiente;1;1;1;1;1;5;0;1;1;11111
2144;Engenheiros mecânicos;1;1;1;1;1;5;0;1;1;11111
2145;Engenheiros químicos;1;1;1;1;1;5;0;1;1;11111
2146;Engenheiros de minas, metalúrgicos e afins;1;1;1;1;1;5;0;1;1;11111
2149;Engenheiros não classificados anteriormente;1;1;1;1;1;5;0;1;1;11111
2151;Engenheiros eletricistas;1;1;1;1;1;5;0;1;1;11111
2152;Engenheiros eletrônicos;1;1;1;1;1;5;0;1;1;11111
2153;Engenheiros em telecomunicações;1;1;1;1;1;5;0;1;1;11111
2161;Arquitetos de edificações;1;1;1;1;1;5;0;1;1;11111
2162;Arquitetos paisagistas;1;1;1;1;1;5;0;1;1;11111
2163;Desenhistas de produtos e  vestuário;1;0;0;0;0;1;4;0;0;10000
2164;Urbanistas e engenheiros de trânsito;1;1;1;1;1;5;0;1;1;11111
2165;Cartógrafos e agrimensores;1;1;1;1;1;5;0;1;1;11111
2166;Desenhistas gráficos e de multimídia;1;0;0;0;0;1;4;0;0;10000
2211;Médicos gerais;1;1;1;1;1;5;0;1;1;11111
2212;Médicos especialistas;1;1;1;1;1;5;0;1;1;11111
2221;Profissionais de enfermagem;1;1;1;1;1;5;0;1;1;11111
2222;Profissionais de partos;1;1;1;1;1;5;0;1;1;11111
2230;Profissionais da medicina tradicional e alternativa;0;1;0;0;1;2;3;0;0;01001
2240;Paramédicos;0;1;0;0;0;1;4;0;0;01000
2250;Veterinários;1;1;1;1;1;5;0;1;1;11111
2261;Dentistas;1;1;1;1;1;5;0;1;1;11111
2262;Farmacêuticos;1;1;1;1;1;5;0;1;1;11111
2263;Profissionais da saúde e da higiene laboral e ambiental;1;1;1;1;1;5;0;1;1;11111
2264;Fisioterapeutas;1;1;1;1;1;5;0;1;1;11111
2265;Dietistas e nutricionistas;1;1;1;1;1;5;0;1;1;11111
2266;Fonoaudiólogos e logopedistas;1;1;1;1;1;5;0;1;1;11111
2267;Optometristas;1;1;1;1;1;5;0;1;1;11111
2269;Profissionais da saúde não classificados anteriormente;1;1;1;1;1;5;0;1;1;11111
2310;Professores de universidades e do ensino superior;1;1;1;1;1;5;0;1;1;11111
2320;Professores de formação profissional;1;0;1;0;1;3;2;1;0;10101
2330;Professores do ensino médio;1;1;1;1;1;5;0;1;1;11111
2341;Professores do ensino fundamental;1;1;1;1;1;5;0;1;1;11111
2342;Professores do ensino pré-escolar;1;1;1;1;0;4;1;1;0;11110
2351;Especialistas em métodos pedagógicos;1;1;1;1;1;5;0;1;1;11111
2352;Educadores para necessidades especiais;1;1;1;1;1;5;0;1;1;11111
2353;Outros professores de idiomas;0;0;0;0;0;0;5;0;1;00000
2354;Outros professores de música;0;0;0;0;0;0;5;0;1;00000
2355;Outros professores de artes;0;0;0;0;0;0;5;0;1;00000
2356;Instrutores em tecnologias da informação;1;0;0;0;0;1;4;0;0;10000
2359;Profissionais de ensino não classificados anteriormente;1;1;1;1;0;4;1;1;0;11110
2411;Contadores;1;1;1;1;1;5;0;1;1;11111
2412;Assessores financeiros e em investimentos;1;1;0;0;1;3;2;1;0;11001
2413;Analistas financeiros;1;1;0;1;1;4;1;1;0;11011
2421;Analistas de gestão e administração;1;1;0;1;1;4;1;1;0;11011
2422;Especialistas em políticas de administração;1;1;0;1;1;4;1;1;0;11011
2423;Especialistas em políticas e serviços de pessoal e afins;1;1;0;1;1;4;1;1;0;11011
2424;Especialistas em formação de pessoal;1;1;0;1;1;4;1;1;0;11011
2431;Profissionais da publicidade e da comercialização;1;1;0;0;0;2;3;0;0;11000
2432;Profissionais de relações públicas;1;1;1;1;0;4;1;1;0;11110
2433;Profissionais de vendas técnicas e médicas (exclusive tic);1;1;0;0;0;2;3;0;0;11000
2434;Profissionais de vendas de tecnologia da informação e comunicações;1;1;0;0;0;2;3;0;0;11000
2511;Analistas de sistemas;1;1;0;1;1;4;1;1;0;11011
2512;Desenvolvedores de programas e aplicativos (software);1;1;0;1;1;4;1;1;0;11011
2513;Desenvolvedores de páginas de internet (web) e multimídia;1;1;0;1;1;4;1;1;0;11011
2514;Programadores de aplicações;1;1;0;1;1;4;1;1;0;11011
2519;Desenvolvedores e analistas de programas e aplicativos (software) e multimídia não classificados anteriormente;1;1;0;1;1;4;1;1;0;11011
2521;Desenhistas e administradores de bases de dados;1;1;0;1;1;4;1;1;0;11011
2522;Administradores de sistemas;1;1;0;1;1;4;1;1;0;11011
2523;Profissionais em rede de computadores;1;1;0;1;1;4;1;1;0;11011
2529;Especialistas em base de dados e em redes de computadores não classificados anteriormente;1;1;0;1;1;4;1;1;0;11011
2611;Advogados e juristas;1;1;1;1;1;5;0;1;1;11111
2612;Juízes;1;1;1;1;1;5;0;1;1;11111
2619;Profissionais em direito não classificados anteriormente;1;1;1;1;1;5;0;1;1;11111
2621;Arquivologistas e curadores de museus;1;1;1;1;1;5;0;1;1;11111
2622;Bibliotecários, documentaristas e afins;1;1;1;1;0;4;1;1;0;11110
2631;Economistas;1;1;1;1;1;5;0;1;1;11111
2632;Sociólogos, antropólogos e afins;1;1;1;1;1;5;0;1;1;11111
2633;Filósofos, historiadores e especialistas em ciência política;1;1;1;1;1;5;0;1;1;11111
2634;Psicólogos;1;1;1;1;1;5;0;1;1;11111
2635;Assistentes sociais;1;1;1;1;1;5;0;1;1;11111
2636;Ministros de cultos religiosos, missionários e afins;0;0;0;0;0;0;5;0;1;00000
2641;Escritores;0;1;0;0;0;1;4;0;0;01000
2642;Jornalistas;1;1;0;0;1;3;2;1;0;11001
2643;Tradutores, intérpretes e linguistas;1;1;0;0;0;2;3;0;0;11000
2651;Artistas plásticos;0;0;0;0;0;0;5;0;1;00000
2652;Músicos, cantores e compositores;0;0;0;0;0;0;5;0;1;00000
2653;Bailarinos e coreógrafos;0;0;0;0;0;0;5;0;1;00000
2654;Diretores de cinema, de teatro e afins;0;0;0;0;0;0;5;0;1;00000
2655;Atores;0;0;0;0;0;0;5;0;1;00000
2656;Locutores de rádio, televisão e outros meios de comunicação;0;0;0;0;0;0;5;0;1;00000
2659;Artistas criativos e interpretativos não classificados anteriormente;0;0;0;0;0;0;5;0;1;00000
3111;Técnicos em ciências físicas e químicas;0;0;0;0;0;0;5;0;1;00000
3112;Técnicos em engenharia civil;0;0;0;0;0;0;5;0;1;00000
3113;Eletrotécnicos;0;0;0;0;0;0;5;0;1;00000
3114;Técnicos em eletrônica;0;0;0;0;0;0;5;0;1;00000
3115;Técnicos em engenharia mecânica;0;0;0;0;0;0;5;0;1;00000
3116;Técnicos em química industrial;0;0;0;0;0;0;5;0;1;00000
3117;Técnicos em engenharia de minas e metalurgia;0;0;0;0;0;0;5;0;1;00000
3118;Desenhistas e projetistas técnicos;0;0;0;0;0;0;5;0;1;00000
3119;Técnicos em ciências físicas e da engenharia não classificados anteriormente;0;0;0;0;0;0;5;0;1;00000
3121;Supervisores da mineração;0;0;0;0;0;0;5;0;1;00000
3122;Supervisores de indústrias de transformação;0;0;0;0;0;0;5;0;1;00000
3123;Supervisores da construção;0;0;0;0;0;0;5;0;1;00000
3131;Operadores de instalações de produção de energia;0;0;0;0;0;0;5;0;1;00000
3132;Operadores de incineradores, instalações de tratamento de água e afins;0;0;0;0;0;0;5;0;1;00000
3133;Controladores de instalações de processamento de produtos químicos;0;0;0;0;0;0;5;0;1;00000
3134;Operadores de instalações de refino de petróleo e gás natural;0;0;0;0;0;0;5;0;1;00000
3135;Controladores de processos de produção de metais;0;0;0;0;0;0;5;0;1;00000
3139;Técnicos em controle de processos não classificados anteriormente;0;0;0;0;0;0;5;0;1;00000
3141;Técnicos e profissionais de nível médio em ciências biológicas (exclusive da medicina);0;0;0;0;0;0;5;0;1;00000
3142;Técnicos agropecuários;0;0;0;0;0;0;5;0;1;00000
3143;Técnicos florestais;0;0;0;0;0;0;5;0;1;00000
3151;Oficiais maquinistas em navegação;0;0;0;0;0;0;5;0;1;00000
3152;Capitães, oficiais de coberta e práticos;0;0;0;0;0;0;5;0;1;00000
3153;Pilotos de aviação e afins;0;0;0;0;1;1;4;0;0;00001
3154;Controladores de tráfego aéreo;0;0;0;0;1;1;4;0;0;00001
3155;Técnicos em segurança aeronáutica;0;0;0;0;0;0;5;0;1;00000
3211;Técnicos em aparelhos de diagnóstico e tratamento médico;0;0;0;0;0;0;5;0;1;00000
3212;Técnicos de laboratórios médicos;0;0;0;0;0;0;5;0;1;00000
3213;Técnicos e assistentes farmacêuticos;0;0;0;0;0;0;5;0;1;00000
3214;Técnicos de próteses médicas e dentárias;0;0;0;0;0;0;5;0;1;00000
3221;Profissionais de nível médio de enfermagem;0;0;0;0;0;0;5;0;1;00000
3222;Profissionais de nível médio de partos;0;0;0;0;0;0;5;0;1;00000
3230;Profissionais de nível médio de medicina tradicional e alternativa;0;0;0;0;0;0;5;0;1;00000
3240;Técnicos e assistentes veterinários;0;0;0;0;0;0;5;0;1;00000
3251;Dentistas auxiliares e ajudantes de odontologia;0;0;0;0;0;0;5;0;1;00000
3252;Técnicos em documentação sanitária;0;0;0;0;0;0;5;0;1;00000
3253;Trabalhadores comunitários da saúde;0;0;0;0;0;0;5;0;1;00000
3254;Técnicos em optometria e ópticos;0;0;0;0;0;0;5;0;1;00000
3255;Técnicos e assistentes fisioterapeutas;0;0;0;0;0;0;5;0;1;00000
3256;assistentes de medicina;0;0;0;0;0;0;5;0;1;00000
3257;Inspetores de saúde laboral, ambiental e afins;0;0;0;0;0;0;5;0;1;00000
3258;Ajudantes de ambulâncias;0;0;0;0;0;0;5;0;1;00000
3259;Profissionais de nível médio da saúde não classificados anteriormente;0;0;0;0;0;0;5;0;1;00000
3311;Agentes e corretores de bolsa, câmbio e outros serviços financeiros;0;0;0;0;0;0;5;0;1;00000
3312;Agentes de empréstimos e financiamento;0;0;0;0;0;0;5;0;1;00000
3313;Contabilistas e guarda livros;0;0;0;0;0;0;5;0;1;00000
3314;Profissionais de nível médio de serviços estatísticos, matemáticos e afins;0;0;0;0;0;0;5;0;1;00000
3315;Avaliadores;0;0;0;0;0;0;5;0;1;00000
3321;Agentes de seguros;0;0;0;0;0;0;5;0;1;00000
3322;Representantes comerciais;0;0;0;0;0;0;5;0;1;00000
3323;Agentes de compras;0;0;0;0;0;0;5;0;1;00000
3324;Corretores de comercialização;0;0;0;0;0;0;5;0;1;00000
3331;Despachantes aduaneiros;0;0;0;0;0;0;5;0;1;00000
3332;Organizadores de conferências e eventos;0;0;0;0;0;0;5;0;1;00000
3333;Agentes de emprego e agenciadores de mão de obra;0;0;0;0;0;0;5;0;1;00000
3334;Agentes imobiliários;0;0;0;0;0;0;5;0;1;00000
3339;Agentes de serviços comerciais não classificados anteriormente;0;0;0;0;0;0;5;0;1;00000
3341;Supervisores de secretaria;0;0;0;0;0;0;5;0;1;00000
3342;Secretários jurídicos;0;0;0;0;0;0;5;0;1;00000
3343;Secretários executivos e administrativos;0;0;0;0;0;0;5;0;1;00000
3344;Secretários de medicina;0;0;0;0;0;0;5;0;1;00000
3351;Agentes aduaneiros e inspetores de fronteiras;0;0;0;0;0;0;5;0;1;00000
3352;Agentes da administração tributária;0;0;0;0;0;0;5;0;1;00000
3353;Agentes de serviços de seguridade social;0;0;0;0;0;0;5;0;1;00000
3354;Agentes de serviços de expedição de licenças e permissões;0;0;0;0;0;0;5;0;1;00000
3355;Inspetores de polícia e detetives;0;0;0;0;0;0;5;0;1;00000
3359;Agentes da administração pública para aplicação da lei e afins não classificados anteriormente;0;0;0;0;0;0;5;0;1;00000
3411;Profissionais de nível médio do direito e serviços legais e afins;0;0;0;0;0;0;5;0;1;00000
3412;Trabalhadores e assistentes sociais de nível médio;0;0;0;0;0;0;5;0;1;00000
3413;Auxiliares leigos de religião;0;0;0;0;0;0;5;0;1;00000
3421;Atletas e esportistas;0;0;0;0;0;0;5;0;1;00000
3422;Treinadores, instrutores e árbitros de atividades esportivas;0;0;0;0;0;0;5;0;1;00000
3423;Instrutores de educação física e atividades recreativas;0;0;0;0;0;0;5;0;1;00000
3431;Fotógrafos;0;0;0;0;0;0;5;0;1;00000
3432;Desenhistas e decoradores de interiores;0;0;0;0;0;0;5;0;1;00000
3433;Técnicos em galerias de arte, museus e bibliotecas;0;0;0;0;0;0;5;0;1;00000
3434;Chefes de cozinha;0;0;0;0;0;0;5;0;1;00000
3435;Outros profissionais de nível médio em atividades culturais e artísticas;0;0;0;0;0;0;5;0;1;00000
3511;Técnicos em operações de tecnologia da informação e das comunicações;0;0;0;0;0;0;5;0;1;00000
3512;Técnicos em assistência ao usuário de tecnologia da informação e das comunicações;0;0;0;0;0;0;5;0;1;00000
3513;Técnicos de redes e sistemas de computadores;0;0;0;0;0;0;5;0;1;00000
3514;Técnicos da web;0;0;0;0;0;0;5;0;1;00000
3521;Técnicos de radiodifusão e gravação audiovisual;0;0;0;0;0;0;5;0;1;00000
3522;Técnicos de engenharia de telecomunicações;0;0;0;0;0;0;5;0;1;00000
4110;Escriturários gerais;0;0;0;0;0;0;5;0;1;00000
4120;Secretários (geral);0;0;0;0;0;0;5;0;1;00000
4131;Operadores de máquinas de processamento de texto e mecanógrafos;0;0;0;0;0;0;5;0;1;00000
4132;Operadores de entrada de dados;0;0;0;0;0;0;5;0;1;00000
4211;Caixas de banco e afins;0;0;0;0;0;0;5;0;1;00000
4212;Coletores de apostas e de jogos;0;0;0;0;0;0;5;0;1;00000
4213;Trabalhadores em escritórios de empréstimos e penhor;0;0;0;0;0;0;5;0;1;00000
4214;Cobradores e afins;0;0;0;0;0;0;5;0;1;00000
4221;Trabalhadores de agências de viagem;0;0;0;0;0;0;5;0;1;00000
4222;Trabalhadores de centrais de atendimento;0;0;0;0;0;0;5;0;1;00000
4223;Telefonistas;0;0;0;0;0;0;5;0;1;00000
4224;Recepcionistas de hotéis;0;0;0;0;0;0;5;0;1;00000
4225;Trabalhadores dos serviços de informações;0;0;0;0;0;0;5;0;1;00000
4226;Recepcionistas em geral;0;0;0;0;0;0;5;0;1;00000
4227;Entrevistadores de pesquisas de mercado;0;0;0;0;0;0;5;0;1;00000
4229;Trabalhadores de serviços de informação ao cliente não classificados anteriormente;0;0;0;0;0;0;5;0;1;00000
4311;Trabalhadores de contabilidade e cálculo de custos;0;0;0;0;0;0;5;0;1;00000
4312;Trabalhadores de serviços estatísticos, financeiros e de seguros;0;0;0;0;0;0;5;0;1;00000
4313;Trabalhadores encarregados de folha de pagamento;0;0;0;0;0;0;5;0;1;00000
4321;Trabalhadores de controle de abastecimento e estoques;0;0;0;0;0;0;5;0;1;00000
4322;Trabalhadores de serviços de apoio à produção;0;0;0;0;0;0;5;0;1;00000
4323;Trabalhadores de serviços de transporte;0;0;0;0;0;0;5;0;1;00000
4411;Trabalhadores de bibliotecas;0;0;0;0;0;0;5;0;1;00000
4412;Trabalhadores de serviços de correios;0;0;0;0;0;0;5;0;1;00000
4413;Codificadores de dados, revisores de provas de impressão e afins;0;0;0;0;0;0;5;0;1;00000
4414;Outros escreventes;0;0;0;0;0;0;5;0;1;00000
4415;Trabalhadores de arquivos;0;0;0;0;0;0;5;0;1;00000
4416;Trabalhadores do serviço de pessoal;0;0;0;0;0;0;5;0;1;00000
4419;Trabalhadores de apoio administrativo não classificados anteriormente;0;0;0;0;0;0;5;0;1;00000
5111;Auxiliares de serviço de bordo;0;0;0;0;0;0;5;0;1;00000
5112;Fiscais e cobradores de transportes públicos;0;0;0;0;0;0;5;0;1;00000
5113;Guias de turismo;0;0;0;0;0;0;5;0;1;00000
5120;Cozinheiros;0;0;0;0;0;0;5;0;1;00000
5131;Garçons;0;0;0;0;0;0;5;0;1;00000
5132;atendentes de bar;0;0;0;0;0;0;5;0;1;00000
5141;Cabeleireiros;0;0;0;0;0;0;5;0;1;00000
5142;Especialistas em tratamento de beleza e afins;0;0;0;0;0;0;5;0;1;00000
5151;Supervisores de manutenção e limpeza de edifícios em escritórios, hotéis e estabelecimentos;0;0;0;0;0;0;5;0;1;00000
5152;Governantas e mordomos domésticos;0;0;0;0;0;0;5;0;1;00000
5153;Porteiros e zeladores;0;0;0;0;0;0;5;0;1;00000
5161;Astrólogos, adivinhos e afins;0;0;0;0;0;0;5;0;1;00000
5162;Acompanhantes e criados particulares;0;0;0;0;0;0;5;0;1;00000
5163;Trabalhadores de funerárias e embalsamadores;0;0;0;0;0;0;5;0;1;00000
5164;Cuidadores de animais;0;0;0;0;0;0;5;0;1;00000
5165;Instrutores de autoescola;0;0;0;0;0;0;5;0;1;00000
5168;Trabalhadores do sexo;0;0;0;0;0;0;5;0;1;00000
5169;Trabalhadores de serviços pessoais não classificados anteriormente;0;0;0;0;0;0;5;0;1;00000
5211;Vendedores de quiosques e postos de mercados;0;0;0;0;0;0;5;0;1;00000
5212;Vendedores ambulantes de serviços de alimentação;0;0;0;0;0;0;5;0;1;00000
5221;Comerciantes de lojas;0;0;0;0;0;0;5;0;1;00000
5222;Supervisores de lojas;0;0;0;0;0;0;5;0;1;00000
5223;Balconistas e vendedores de lojas;0;0;0;0;0;0;5;0;1;00000
5230;Caixas e expedidores de bilhetes;0;0;0;0;0;0;5;0;1;00000
5241;Modelos de moda, arte e publicidade;0;0;0;0;0;0;5;0;1;00000
5242;Demonstradores de lojas;0;0;0;0;0;0;5;0;1;00000
5243;Vendedores a domicilio;0;0;0;0;0;0;5;0;1;00000
5244;Vendedores por telefone;0;0;0;0;0;0;5;0;1;00000
5245;Frentistas de posto de gasolina;0;0;0;0;0;0;5;0;1;00000
5246;Balconistas dos serviços de alimentação;0;0;0;0;0;0;5;0;1;00000
5249;Vendedores não classificados anteriormente;0;0;0;0;0;0;5;0;1;00000
5311;Cuidadores de crianças;0;0;0;0;0;0;5;0;1;00000
5312;Ajudantes de professores;0;0;0;0;0;0;5;0;1;00000
5321;Trabalhadores de cuidados pessoais em instituições;0;0;0;0;0;0;5;0;1;00000
5322;Trabalhadores de cuidados pessoais a domicílios;0;0;0;0;0;0;5;0;1;00000
5329;Trabalhadores de cuidados pessoais nos serviços de saúde não classificados anteriormente;0;0;0;0;0;0;5;0;1;00000
5411;Bombeiros;0;0;0;0;0;0;5;0;1;00000
5412;Policiais;0;0;0;0;0;0;5;0;1;00000
5413;Guardiões de presídios;0;0;0;0;0;0;5;0;1;00000
5414;Guardas de segurança;0;0;0;0;0;0;5;0;1;00000
5419;Trabalhadores dos serviços de proteção e segurança não classificados anteriormente;0;0;0;0;0;0;5;0;1;00000
6111;Agricultores e trabalhadores qualificados em atividades da agricultura (exclusive hortas, viveiros e jardins);0;0;0;0;0;0;5;0;1;00000
6112;Agricultores e trabalhadores qualificados no cultivo de hortas, viveiros e jardins;0;0;0;0;0;0;5;0;1;00000
6114;Agricultores e trabalhadores qualificados de cultivos mistos;0;0;0;0;0;0;5;0;1;00000
6121;Criadores de gado e trabalhadores qualificados da criação de gado;0;0;0;0;0;0;5;0;1;00000
6122;Avicultores e trabalhadores qualificados da avicultura;0;0;0;0;0;0;5;0;1;00000
6123;Apicultores, sericicultores e trabalhadores qualificados da apicultura e sericicultura;0;0;0;0;0;0;5;0;1;00000
6129;Outros criadores e trabalhadores qualificados da pecuária não classificados anteriormente;0;0;0;0;0;0;5;0;1;00000
6130;Produtores e trabalhadores qualificados de exploração agropecuária mista;0;0;0;0;0;0;5;0;1;00000
6210;Trabalhadores florestais qualificados e afins;0;0;0;0;0;0;5;0;1;00000
6221;Trabalhadores da aquicultura;0;0;0;0;0;0;5;0;1;00000
6224;Caçadores;0;0;0;0;0;0;5;0;1;00000
6225;Pescadores;0;0;0;0;0;0;5;0;1;00000
7111;Construtores de casas;0;0;0;0;0;0;5;0;1;00000
7112;Pedreiros;0;0;0;0;0;0;5;0;1;00000
7113;Canteiros, cortadores e gravadores de pedras;0;0;0;0;0;0;5;0;1;00000
7114;Trabalhadores em cimento e concreto armado;0;0;0;0;0;0;5;0;1;00000
7115;Carpinteiros;0;0;0;0;0;0;5;0;1;00000
7119;Outros trabalhadores qualificados e operários da construção não classificados anteriormente;0;0;0;0;0;0;5;0;1;00000
7121;Telhadores;0;0;0;0;0;0;5;0;1;00000
7122;Aplicadores de revestimentos cerâmicos, pastilhas, pedras e madeiras;0;0;0;0;0;0;5;0;1;00000
7123;Gesseiros;0;0;0;0;0;0;5;0;1;00000
7124;Instaladores de material isolante térmico e acústico;0;0;0;0;0;0;5;0;1;00000
7125;Vidraceiros;0;0;0;0;0;0;5;0;1;00000
7126;Bombeiros e encanadores;0;0;0;0;0;0;5;0;1;00000
7127;Mecânicos-instaladores de sistemas de refrigeração e climatização;0;0;0;0;0;0;5;0;1;00000
7131;Pintores e empapeladores;0;0;0;0;0;0;5;0;1;00000
7132;Lustradores;0;0;0;0;0;0;5;0;1;00000
7133;Limpadores de fachadas;0;0;0;0;0;0;5;0;1;00000
7211;Moldadores de metal e macheiros;0;0;0;0;0;0;5;0;1;00000
7212;Soldadores e oxicortadores;0;0;0;0;0;0;5;0;1;00000
7213;Chapistas e caldeireiros;0;0;0;0;0;0;5;0;1;00000
7214;Montadores de estruturas metálicas;0;0;0;0;0;0;5;0;1;00000
7215;Aparelhadores e emendadores de cabos;0;0;0;0;0;0;5;0;1;00000
7221;Ferreiros e forjadores;0;0;0;0;0;0;5;0;1;00000
7222;Ferramenteiros e afins;0;0;0;0;0;0;5;0;1;00000
7223;Reguladores e operadores de máquinas-ferramentas;0;0;0;0;0;0;5;0;1;00000
7224;Polidores de metais e afiadores de ferramentas;0;0;0;0;0;0;5;0;1;00000
7231;Mecânicos e reparadores de veículos a motor;0;0;0;0;0;0;5;0;1;00000
7232;Mecânicos e reparadores de motores de avião;0;0;0;0;0;0;5;0;1;00000
7233;Mecânicos e reparadores de máquinas agrícolas e industriais;0;0;0;0;0;0;5;0;1;00000
7234;Reparadores de bicicletas e afins;0;0;0;0;0;0;5;0;1;00000
7311;Mecânicos e reparadores de instrumentos de precisão;0;0;0;0;0;0;5;0;1;00000
7312;Confeccionadores e afinadores de instrumentos musicais;0;0;0;0;0;0;5;0;1;00000
7313;Joalheiros e lapidadores de gemas, artesãos de metais preciosos e semipreciosos;0;0;0;0;0;0;5;0;1;00000
7314;Ceramistas e afins (preparação e fabricação);0;0;0;0;0;0;5;0;1;00000
7315;Cortadores, polidores, jateadores e gravadores de vidros e afins;0;0;0;0;0;0;5;0;1;00000
7316;Redatores de cartazes, pintores decorativos e gravadores;0;0;0;0;0;0;5;0;1;00000
7317;Artesãos de pedra, madeira, vime e materiais semelhantes;0;0;0;0;0;0;5;0;1;00000
7318;Artesãos de tecidos, couros e materiais semelhantes;0;0;0;0;0;0;5;0;1;00000
7319;Artesãos não classificados anteriormente;0;0;0;0;0;0;5;0;1;00000
7321;Trabalhadores da pré-impressão gráfica;0;0;0;0;0;0;5;0;1;00000
7322;Impressores;0;0;0;0;0;0;5;0;1;00000
7323;Encadernadores e afins;0;0;0;0;0;0;5;0;1;00000
7411;Eletricistas de obras e afins;0;0;0;0;0;0;5;0;1;00000
7412;Mecânicos e ajustadores eletricistas;0;0;0;0;0;0;5;0;1;00000
7413;Instaladores e reparadores de linhas elétricas;0;0;0;0;0;0;5;0;1;00000
7421;Mecânicos e reparadores em eletrônica;0;0;0;0;0;0;5;0;1;00000
7422;Instaladores e reparadores em tecnologias da informação e comunicações;0;0;0;0;0;0;5;0;1;00000
7511;Magarefes e afins;0;0;0;0;0;0;5;0;1;00000
7512;Padeiros, confeiteiros e afins;0;0;0;0;0;0;5;0;1;00000
7513;Trabalhadores da pasteurização do leite e fabricação de laticínios e afins;0;0;0;0;0;0;5;0;1;00000
7514;Trabalhadores da conservação de frutas, legumes e similares;0;0;0;0;0;0;5;0;1;00000
7515;Trabalhadores da degustação e classificação de alimentos e bebidas;0;0;0;0;0;0;5;0;1;00000
7516;Trabalhadores qualificados da preparação do fumo e seus produtos;0;0;0;0;0;0;5;0;1;00000
7521;Trabalhadores de tratamento e preparação da madeira;0;0;0;0;0;0;5;0;1;00000
7522;Marceneiros e afins;0;0;0;0;0;0;5;0;1;00000
